,Mama's Buoi
471,"Been here once and wont return back until unless i an low on budget.One of the most overrated place in delhi.Below average food, avg. interiors, service is good.Only reason this place is doing good is because they were the first one to serve liquor in hudson lane that too at a cheaper rates.I hope they  work on their food taste."
472,Nice place to hangout with friends but if u need a good service so it’s not the option for you..Good live music & atmosphere Terrace is beautiful...Food is good...Overall nice place..to enjoy your day 
473,"Staff and quick service are the best things here.We ordered:- Arabita Penne Pasta: 3/5- Manchurian: 4/5- Jalapeno Toast: 1/5So food was average, ambience is good."
474,THE BEST😍😍😍Me and my cousin randomly made plan for this cafe as visiting same cafe all the time was boring and we realised that our decision was right.best food 🍱best people to serve (friendly staff)☺best music ( super best must say )🎶🎛everything was A1 💜💜💜
475,Good place one of the best places in gtb nagar.Great food with very pocket friendly charges. A good place for terrace lovers too.Pizza and pasta taste the best.
476,Mama's Buoi is one of the finest place for casual dining. It's one of best cafe in GTB nagar. Best part of it is Ambience and it's open terrace. DJ is also good on friday and saturday.Staff is courteous and their hospitality is extremely well.Coming to the food -- Dahi Kebab is best. Well stuffed and well cooked. It was so soft that kebab melted in the mouth. (5/5)- Chicken Drumsticks (5/5)- White Sauce Pasta and Mix Sauce Pasta is must try. (5/5)- Pizza's are average (2.5/5)- Melting Moments (Served with 3 dips) 4/5Presentation of food is extremely wellNon-Alcoholic have a option of shakes which are good and even the quantity is okayish. Virgin Mojito is a must try.Best...read more
477,I visited this restaurant (randomly planned)And I was amazed with the ambience and the service I Ordered•Spicy Chicken Dimsum•Butter Chicken Pizza•Shredded Honey Chilli Chicken•Mutton Galawatand in Mocktails and Shakes•Innocent Girl•Dirty Double ShakeAll the things were served very nicely and are full of taste highly recommended these dishes Must visit this place 😋
478,"After hearing so much about Mama's Buoi Lounge, we finally decided to drop in. As soon as we entered this cafe the first thing that I liked about this cafe is the DJ. DJ is really amazing here you can't stop your feet. The ambience is also great, they have a dark theme.ALFREDO PASTA-The pasta was exceptionally creamy  and cheesy, the flavor was competent enough to satiate our taste buds.With respect to the quantity they serve I feel it is bit overpriced @269That was my experience with the Mama's Buoi Lounge, Hudson Lane, Gtb Nagar, Delhi. Kindly share your thoughts in the comment section below if you have already been to the place."
479,"The ambiance was pretty nice, but not prompt staff and service. My friend and I had to wait for placing orders a couple of times. Food was average, none of the dishes were extraordinary. My order included:- Quesidilla Mutton Seekh (mutton was dry but still tasted okay with the rest of the filling (was served with salsa, mayo and some nachos); - Peri Peri Fish Tikka (expected the fish to be a little more tender (served with green chutney)- Chocolate and Mint (can be tried if you like the classic combination)- Ginger Ale (decent)-  Death by Chocolate. For all this, the bill amount came out to be INR 1259."
480,"Worst service, no decency with the customers waiting and no first come first serve based. Only a group of more people will be given preference because zada log zada bill"
481,Really a good place with a terrace also they also provide you with good ambience and also serve you the best food but this place is a little costly than other near by .also there staff is good and helpfull
482,"Mama's buoi is one of the best outlets in North delhi. This cafe serves not only quality but also quality. Its a true party place with good ambience, music and a staff that would always serve you with a smile.The food i would recommend isTheir Oreo shake and KitKat shakrTheir Tandoori nonveg platterTier Afghani Chicken"
483,Awesome place to visit nice ambiance very good wall paintings good food specially drinks which i loved the most.Veg dishes was much better than non veg but non veg was not too bad it was good and it was perfect with garlic naan
484,Mama's buoi is a beautiful place with amazing interiors. It has 3 floors and the best part of this place is its rooftop dine in area.I tried:-Chilli paneer:- 5/5Chilli potato :- 3.5/5Dahi ke kabab :- 4/5Death by chocolate:- 5/5It is a must try place in GTB Nagar
485,"Mama's buoi is a  beautiful restaurant, one should visit atleast visit once in North Delhi. It has 3 dedicated floors, the top being a wonderful rooftop open seating. Food is good, must tries are:1. Tandoori Non-veg platter2. Chicken Lolly pop3. Paneer Tikka"
486,Highly disappointed! They were supposed to telecast the event (el classico) on Sunday night but they didn't. I called them thrice before coming and confirmed with regard to screening and reservation. But still they had issue with screening. Such unprofessional attitude. The mama's spaghetti pizza veg was terrible too. 
487,"Mama’s Buoi is the sneak peak centre of attraction in the vicinity of GTB Nagar. This place is so beautifully decorated with its interiors and also with its roof top dine area. The staff is so much soft spoken and the food is next level. I tried fried-chicken burger, chilli chicken, keema pao and finger fish. I must appreciate their presentation and proper touch of typical dilli food. Its a must must try place with pocket friendly food."
488,"Hudson Lane of  Gtb Nagar has always been my favorite when it comes to trying some cafe's food..After hearing so much about Mama's Buoi Lounge, we finally decided to drop in. As soon as we entered this cafe the first thing that I liked about this cafe is the DJ.The DJ is really amazing here you can't stop your feet. The ambience is also great, they have a dark theme.We tried few different options from their menu.1. Alfredo (White Sauce) PastaThe pasta was exceptionally creamy  and cheesy, the flavor was competent enough to satiate our taste buds.With respect to the quantity they serve I feel it is bit overpriced @269Tastemeter - 4.5 / 5Price - 4 / 5 2. Tandoori...read more"
