,TOS - Take Off Scarlet
983,"They have a beautiful ambience. The terrace is beautifully done. View is great !But Food is average..quantity is veryyy less and the service is pathetically slow.If you want to order something, you have to look for staff ..specially if you have chosen a seat in shack.If you are looking for just the ambience, then you can go here ! "
984,"WORST EXPERIENCE. The service is very bad , the worker does not respond,they ignore you. the food and quantity is pathetic and plus its not worth its price. TIME AND MONEY WASTE. please never go. "
985,Pathetic service....As they are showing the deals with nearby and dineout on social media but if somebody purchase that deal and want to redeem it in the outlet they will refuse it they are not going to accept your deal so please guys don't purchase their deals ....and staff are very rude .... advice you to don't waste ur money here 
986,Worst everything! They dont attend people nicely!Bad behaviour!Bad food!Will never come back to this place againThankyou for treating us like this! 
987,amazing place with awesome food and dj the staffs were polite and the combination of dj with dhol was like icing on the cake i would love to visit here more often 
988,Great ambience and amazing food. Went to this place yo party with my friends and was delighted by the service. Will definitely recommend this place .
989,The place was good however I took a deal from one of the manager. It was a ₹1200 IMFL deal Everything was going good however the manager asked for us to stop the party as we ordered 7 bottles even though it was a unlimited deal. After asking the manager for the proof that we have ordered 7 bottles he said I have got the CCTV FOOTAGE but did not show to us.Quite embarrassing in front of team. One of his staff (Waiter) was saying Sir they ordered only 3 bottles but the manager was not ready to accept and he took the remaining bottles back. It was a worst experience for us. Manager Name was Sujeet and his number was 089992 99299
990,"Restaurant denied entry stating stag entry not allowed. It is mentioned no where in description. Really disappointed. It should be mentioned in the description itself. Will never visit again, wasted my 30mins for nothing."
991,#poorservice #poorquantity and on events day without prior notice menu items are missing they are mis used the special date like demand and supply sorry and main thing after supreme court order they are taking service charges no its not gud. Sorry to say shaddy place And after booking from zomato i have to w8 with my wife for more than half hour
992,BOOKED EARLY FOR MY SPECIAL DAY BUT THE MANAGER SAYS IT'S FIRST COME FIRST SERVICE AND FOR NEXT 1 HOUR ALL BOOKINGS ARE RESERVED.I DON'T KNOW WHY THEY CONFIRM MY BOOKING.WORST EXPERIENCEDON'T GO FOR IT. THIS WAS MY FIRST AND LAST VISIT TO THIS RESTAURANT.
993,Nice ambience especially for open roof dinner . Food was good and the live guitarist made the atmosphere completely alive. Nice place for couples for romantic dinner.
994,a great place to hangout. i was there on my birthday and they make me my birthday more special with ambiance and DJ. might be will not able to roam delhi again. but if i visited and planned something to enjoy will definitely choose this place again.
995,Service is not at all goodFood is worse than all other placeThey will not hear you at the time of billingPlease dont go at this place ever they will not satisfy you in any wayThey dont take zomato goldPlease dont go
996,"The food was really bad! Be it in taste or presentation. I would recommend not to order chili paneer or peri peri pasta, you guys would end up hating the said dishes."
997,"My friend celebrated her birthday here. I have no idea if they had some issues on that day or their service is bad all the time. The nightlife floor was pretty good, their dj was great. Can’t say the same about the food and service. The food was served cold and was tasteless. We had to ask for waiters numerous times and the staff would ignore us. This place was renovated recently hopefully if i visit again I’ll have a better experience."
998,"Hi I went this place located in Punjabi bagh club road with my buddies....... I ordered kingfisher ultra, paneer pizza and coke for girls... Pizaa is ok ok.... Ambience is good but thing disappoint me is dj sound... Its so loud I mean to say no bass in speaker only too much treble..Take off scarlet please upgrade your music systemThanksDebashish "
999,Staff have so bad behave with customers services very slow specially managers are sooo rude and they have no prefection and manage properly .
